"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:1DF9XPespiTUJKh5MRRStG","Fever","spotify:artist:5YR49Hzg7h990JxfXuxm3a","La Lupe","spotify:album:2xx0ruNjs5BECoQRRVvOTu","Reina de la Canción Latina","spotify:artist:5YR49Hzg7h990JxfXuxm3a","La Lupe","1967-12-31","https://i.scdn.co/image/ab67616d0000b273493758f086a245862d0b95ac","1","6","165213","https://p.scdn.co/mp3-preview/902e7ee272f4195cfe90c45f2c90ff089999eeea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","USDBB0600406","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:14Z"
"spotify:track:2La21GqU4fKTQLcfLxTeoz","Agitations tropicales","spotify:artist:4PwlsrN0t5mLN0C827cbEU","L'Impératrice","spotify:album:346ZDnGgJudDau17EEyWWA","Odyssée - EP","spotify:artist:4PwlsrN0t5mLN0C827cbEU","L'Impératrice","2015-10-12","https://i.scdn.co/image/ab67616d0000b27391d5af63d5acc752950d5927","1","2","248892","https://p.scdn.co/mp3-preview/9d0a71ead892fd943e9c0430f441bba88159b983?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","GBMJG1509536","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:18Z"
"spotify:track:6mIqd7D0OQZn1Fn3UoBdRW","Dónde Estás Corazón?","spotify:artist:4Sm7JCttzWMwHJtb3UJ8SY","Mocedades","spotify:album:2Z3yiPCELhCreq4tgPqK9O","Personalidad","spotify:artist:4Sm7JCttzWMwHJtb3UJ8SY","Mocedades","2000-01-01","https://i.scdn.co/image/ab67616d0000b273d4f9ecdb27368b817e719809","1","3","237946","https://p.scdn.co/mp3-preview/41eb09470a1b9086b2c522d6aab5a452ebb91fcf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","ES5118201607","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:42Z"
"spotify:track:2XOuNjvWYgPmdtTwjQTd23","Amor de Hombre (De ""La Leyenda del Beso"")","spotify:artist:4Sm7JCttzWMwHJtb3UJ8SY","Mocedades","spotify:album:2Z3yiPCELhCreq4tgPqK9O","Personalidad","spotify:artist:4Sm7JCttzWMwHJtb3UJ8SY","Mocedades","2000-01-01","https://i.scdn.co/image/ab67616d0000b273d4f9ecdb27368b817e719809","1","1","184613","https://p.scdn.co/mp3-preview/0bb762cf24983dd61c3ff8529638ac2bcb3e99f3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","ES5118201599","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:46Z"
"spotify:track:5MWUstMMH2rcxqTSkEeTtP","Eres Tú - Remasterizado","spotify:artist:4Sm7JCttzWMwHJtb3UJ8SY","Mocedades","spotify:album:2I4E6FHABHanPPXmY2cMqZ","Mocedades (1973) [Remasterizado 2022]","spotify:artist:4Sm7JCttzWMwHJtb3UJ8SY","Mocedades","1973","https://i.scdn.co/image/ab67616d0000b2738fbf39286d6f6c3ee4abab5a","1","1","210693","https://p.scdn.co/mp3-preview/f33d7f0397a81a330c49a743b0c2133c11d4ab8d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","ES5022201485","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:51Z"
"spotify:track:0b18g3G5spr4ZCkz7Y6Q0Q","Rasputin","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:54R6Y0I7jGUCveDTtI21nb","Majestic, Boney M.","spotify:album:6PzYuR9c0CYCPJTnqylPhd","Rasputin","spotify:artist:6QMABvTzixnxzsLYyhqRxI, spotify:artist:54R6Y0I7jGUCveDTtI21nb","Majestic, Boney M.","2021-02-26","https://i.scdn.co/image/ab67616d0000b273f05cf0af79d057704dc994f4","1","1","186209","https://p.scdn.co/mp3-preview/ad54133fba3671bed149315a15c410a52569f42b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","81","DEE862100256","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:22:55Z"
"spotify:track:3pf96IFggfQuT6Gafqx2rt","Sunny","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","spotify:album:1KQUrny9y5zGpktF6hAGd4","Take The Heat Off Me","spotify:artist:54R6Y0I7jGUCveDTtI21nb","Boney M.","1976","https://i.scdn.co/image/ab67616d0000b273dafd1cd6e9537ec8463ea691","1","3","242240","https://p.scdn.co/mp3-preview/dd07d16b7a206e52cb678355c9a061e20bc62c5e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","DED168000002","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:23:07Z"
"spotify:track:0eJbGJLMlq7vG8LKDXdLmi","LIFE'S BEEN GOOD TO ME","spotify:artist:34zbMuAgXxsgqnGXSxWvCR, spotify:artist:3dv4Q4q3LWOnbLJnC6GgTY","Ric Wilson, Yellow Days","spotify:album:2uZZWKVQIYYwjA7hEipsS0","Disco Ric in London Town","spotify:artist:34zbMuAgXxsgqnGXSxWvCR, spotify:artist:3dv4Q4q3LWOnbLJnC6GgTY","Ric Wilson, Yellow Days","2021-11-12","https://i.scdn.co/image/ab67616d0000b273436270ba921a8be71c8da169","1","1","320920","https://p.scdn.co/mp3-preview/76879fdfe5363df4f5c64c3a4bb2809e24d0a3bf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","USUYG1393058","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:23:31Z"
"spotify:track:1pBAsoHy7eN9aeVCTAiKua","Afternoon Delight","spotify:artist:66QeIFuFJDNCImNHlFzrY1","Starland Vocal Band","spotify:album:0SIkfBz37ZXzxXOZCi4JNk","Starland Vocal Band","spotify:artist:66QeIFuFJDNCImNHlFzrY1","Starland Vocal Band","1976-07-01","https://i.scdn.co/image/ab67616d0000b273a7029666a378561d5ca6c917","1","8","193040","https://p.scdn.co/mp3-preview/c8a7a045da9803025b1af64bea9fac23d82d121f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USRZR0491708","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:23:52Z"
"spotify:track:7c9kLAF95fPjggkWGQS8zP","Take a Load off Annie","spotify:artist:0a3iHkqj5GZ5CpiKOrB5sS","The Boys from Nazareth","spotify:album:4BTDr1lttveqFNFP1V8hH6","Take a Load off Annie","spotify:artist:0a3iHkqj5GZ5CpiKOrB5sS","The Boys from Nazareth","2012-02-23","https://i.scdn.co/image/ab67616d0000b27380dd37fddcd3664ddd03828f","1","1","281506","https://p.scdn.co/mp3-preview/acfd63b38d10c7d232d6d2926b747d63cb4f2809?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","TCABE1225653","spotify:user:tbgcqfyxjw0xuiffywit30yz3","2024-02-22T20:23:58Z"
